Key,en,es,ar,fr,de,ru,tr,hi,ur,cn,ig-ng
2FA Verification,2FA Verification,Verificación 2FA,التحقق 2FA,Vérification 2FA,2FA-Verifizierung,2FA-верификация,2FA Doğrulaması,2एफए सत्यापन,2FA تصدیق,2FA验证,2FA nkwenye
User Registration,User Registration,Registro de usuario,تسجيل المستخدم,Inscription des utilisateurs,Benutzer Registration,Регистрация пользователя,Kullanıcı Kaydı,उपयोगकर्ता पंजीकरण,استعمال کنندہ کی رجسٹریشن,用户注册,Ndebanye aha onye ọrụ
Activated,Activated,Activado,تفعيلها,Activé,Aktiviert,Активировано,Aktif,सक्रिय,چالو,活性,Agbanyere
Deactivated,Deactivated,Desactivado,معطل,Désactivé,Deaktiviert,Деактивирован,Devre dışı bırakıldı,निष्क्रिय,غیر فعال,已停用,Agbanyụrụ
Secure Password,Secure Password,Contraseña segura,كلمة مرور آمنة,Mot de passe sécurisé,Sicheres Passwort,Безопасный пароль,Güvenli Şifre,सुरक्षित पासवर्ड,محفوظ پاس ورڈ,安全密码,Okwuntughe echekwara
Agree Policy,Agree Policy,Política de acuerdo,الموافقة على السياسة,Accepter la politique,Richtlinien zustimmen,Согласен с политикой,Kabul Politikası,सहमत नीति,پالیسی سے اتفاق کریں۔,同意政策,Amụma kwekọrịtara
Force SSL,Force SSL,Forzar SSL,فرض SSL,Forcer SSL,SSL erzwingen,Принудительный SSL,SSL'yi zorla,एसएसएल को बाध्य करें,SSL کو مجبور کریں۔,强制 SSL,Kwado SSL
Email Notification,Email Notification,Notificación por correo electrónico,إشعار البريد الإلكتروني,Notification par courrier électronique,Email Benachrichtigung,Уведомление по электронной почте,Eposta bildirimi,ई - मेल अधिसूचना,ای میل اطلاع,电子邮件通知,Ozi email
Title,Title,Título,عنوان,Titre,Titel,Заголовок,Başlık,शीर्षक,عنوان,标题,Aha
Payment Required,Payment Required,Pago requerido,الدفع مطلوب,Paiement requis,Bezahlung erforderlich,Требуется оплата,ödeme gerekli,भुगतान की आवश्यकता है,ادائیگی کی ضرورت ہے۔,需要付款,Achọrọ ịkwụ ụgwọ
Message,Message,Mensaje,رسالة,Message,Nachricht,Сообщение,İleti,संदेश,پیغام,信息,Ozi
Too Many Requests,Too Many Requests,Demasiadas solicitudes,طلبات كثيرة جدًا,Trop de demandes,Zu viele Anfragen,Слишком много запросов,Çok fazla istek,बहुत सारे अनुरोध,بہت ساری درخواستیں,请求过多,Ọtụtụ arịrịọ
Service Unavailable,Service Unavailable,Servicio No Disponible,الخدمة غير متوفرة,service non disponible,Dienst nicht verfügbar,Сервис недоступен,hizmet kullanılamıyor,सेवा अनुपलब्ध है,سروس میسر نہیں,暂停服务,Ọrụ Adịghị
Register Information,Register Information,Información de registro,تسجيل المعلومات,Informations sur l'inscription,Informationen registrieren,Регистрационная информация,Kayıt Bilgileri,जानकारी पंजीकृत करें,معلومات رجسٹر کریں۔,注册信息,Ozi ndekọ
pagination.previous,pagination.previous,paginación.anterior,ترقيم الصفحات.السابق,pagination.précédent,Paginierung.vorherige,разбивка на страницы.предыдущий,sayfalandırma.önceki,पेजिनेशन.पिछला,صفحہ بندی.پچھلا,分页.上一页,pagination.nke gara aga
Showing,Showing,Demostración,عرض,Affichage,Zeigt,Показаны,Gösterilen,दिखा,دکھا رہا ہے۔,显示中,Na-egosi
of,of,de,ل,de,von,из,ile ilgili,का,کی,的,nke
results,results,resultados,نتائج,résultats,Ergebnisse,Результаты,sonuçlar,परिणाम,نتائج,结果,nsonaazụ
TRUE,TRUE,VERDADERO,حقيقي,VRAI,WAHR,истинный,DOĞRU,सत्य,سچ ہے۔,真的,EZIOKWU
FALSE,FALSE,FALSO,خطأ شنيع,FAUX,FALSCH,ЛОЖЬ,YANLIŞ,असत्य,FALSE,错误的,Ụgha
Register,Register,Registro,يسجل,Registre,Registrieren,регистр,Kayıt olmak,पंजीकरण करवाना,رجسٹر کریں۔,登记,Debanye aha
Logout,Logout,Cerrar sesión,تسجيل الخروج,Déconnexion,Ausloggen,Выйти,Çıkış Yap,लॉग आउट,لاگ آوٹ,登出,Wepụ
Unauthorized,Unauthorized,No autorizado,غير مصرح به,Non autorisé,Nicht autorisiert,Несанкционированный,Yetkisiz,अनधिकृत,غیر مجاز,未经授权,Enweghị ikike
Forbidden,Forbidden,Prohibido,مُحرَّم,Interdit,Verboten,Запрещенный,Yasaklı,निषिद्ध,ممنوعہ,禁止,Amachibidoro
Not Found,Not Found,Extraviado,لم يتم العثور عليه,Introuvable,Nicht gefunden,Не найдено,Bulunamadı,नहीं मिला,نہیں ملا,未找到,Ahụghị
Page Expired,Page Expired,Página caducada,انتهت صلاحية الصفحة,Page expirée,Seite abgelaufen,Срок действия страницы истек,Sayfanın Süresi Doldu,पेज समाप्त हो गया,صفحہ کی میعاد ختم ہوگئی,页面已过期,Ibe kubie ume
Server Error,Server Error,Error del servidor,خطأ في الخادم,Erreur de serveur,Serverfehler,Ошибка сервера,Server hatası,सर्वर त्रुटि,سرور کی خرابی۔,服务器错误,Njehie nkesa
Previous,Previous,Anterior,سابق,Précédent,Vorherige,Предыдущий,Öncesi,पहले का,پچھلا,以前的,Nke gara aga
Next,Next,Próximo,التالي,Suivant,Nächste,Следующий,Sonraki,अगला,اگلے,下一个,Osote
Please confirm your password before continuing.,Please confirm your password before continuing.,Confirme su contraseña antes de continuar.,الرجاء تأكيد كلمة المرور الخاصة بك قبل المتابعة.,Veuillez confirmer votre mot de passe avant de continuer.,"Bitte bestätigen Sie Ihr Passwort, bevor Sie fortfahren.","Пожалуйста, подтвердите свой пароль, прежде чем продолжить.",Devam etmeden önce lütfen şifrenizi doğrulayın.,कृपया जारी रखने से पहले अपने पासवर्ड की पुष्टि करें।,براہ کرم جاری رکھنے سے پہلے اپنے پاس ورڈ کی تصدیق کریں۔,请先确认您的密码，然后再继续。,Biko gosi paswọọdụ gị tupu ịga n'ihu.
Forgot Your Password?,Forgot Your Password?,¿Olvidaste tu contraseña?,نسيت كلمة السر؟,Vous avez oublié votre mot de passe ?,Haben Sie Ihr Passwort vergessen?,Забыли пароль?,Parolanızı mı unuttunuz?,अपना कूट शब्द भूल गए?,اپنا پاس ورڈ بھول گئے؟,忘记密码了吗？,Chefuru okwuntughe gị?
Send Password Reset Link,Send Password Reset Link,Enviar enlace para restablecer contraseña,إرسال رابط إعادة تعيين كلمة المرور,Envoyer le lien de réinitialisation du mot de passe,Link zum Zurücksetzen des Passworts senden,Отправить ссылку для сброса пароля,Şifre Sıfırlama Bağlantısını Gönder,पासवर्ड रीसेट लिंक भेजें,پاس ورڈ ری سیٹ لنک بھیجیں۔,发送密码重置链接,Zipu njikọ Tọgharia okwuntughe
Remember Me,Remember Me,Acuérdate de mí,تذكرنى,Souviens-toi de moi,Erinnere dich an mich,Запомнить меня,Beni Hatırla,मुझे याद करो,مجھے پہچانتے ہو,记住账号,Cheta m
Verify Your Email Address,Verify Your Email Address,Verifique su dirección de correo electrónico,تحقق من عنوان بريدك الإلكتروني,Vérifiez votre adresse e-mail,Bestätige deine Email-Adresse,Проверьте свой адрес электронной почты,Email adresinizi doğrulayın,अपने ईमेल पते की पुष्टि करें,اپنا ای میل ایڈریس کی تصدیق کریں,确认你的邮件地址,Nyochaa adreesị ozi-e gị
A fresh verification link has been sent to your email address.,A fresh verification link has been sent to your email address.,Se ha enviado un nuevo enlace de verificación a su dirección de correo electrónico.,تم إرسال رابط تحقق جديد إلى عنوان بريدك الإلكتروني.,Un nouveau lien de vérification a été envoyé à votre adresse e-mail.,Ein neuer Bestätigungslink wurde an Ihre E-Mail-Adresse gesendet.,На ваш адрес электронной почты была отправлена ​​новая ссылка для подтверждения.,E-posta adresinize yeni bir doğrulama bağlantısı gönderildi.,आपके ईमेल पते पर एक नया सत्यापन लिंक भेजा गया है।,ایک تازہ تصدیقی لنک آپ کے ای میل پتے پر بھیج دیا گیا ہے۔,新的验证链接已发送到您的电子邮件地址。,ezipula njikọ nkwenye ọhụrụ na adreesị ozi-e gị.
"Before proceeding, please check your email for a verification link.","Before proceeding, please check your email for a verification link.","Antes de continuar, revise su correo electrónico para obtener un enlace de verificación.",قبل المتابعة، يرجى التحقق من بريدك الإلكتروني للحصول على رابط التحقق.,"Avant de continuer, veuillez vérifier votre courrier électronique pour un lien de vérification.","Bevor Sie fortfahren, überprüfen Sie bitte Ihre E-Mail auf einen Bestätigungslink.","Прежде чем продолжить, проверьте свою электронную почту на наличие ссылки для подтверждения.",Devam etmeden önce lütfen doğrulama bağlantısı için e-postanızı kontrol edin.,"आगे बढ़ने से पहले, कृपया सत्यापन लिंक के लिए अपना ईमेल जांचें।",آگے بڑھنے سے پہلے، براہ کرم تصدیقی لنک کے لیے اپنا ای میل چیک کریں۔,在继续之前，请检查您的电子邮件以获取验证链接。,"Tupu ịga n'ihu, biko lelee email gị maka njikọ nkwenye."
